DataSetId,DataSetName,MeasureCode,MeasureName,ReportedMeasureCode,ReportedMeasureName,ReportingEndDate,ReportingStartDate
8048,LOS 2017-18 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0144,Chronic obstructive pulmonary disease (without complications),2018-06-30,2017-07-01
8049,LOS 2017-18 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0145,Heart failure (with complications),2018-06-30,2017-07-01
8050,LOS 2017-18 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0146,Heart failure (without complications),2018-06-30,2017-07-01
8051,LOS 2017-18 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0147,Kidney and urinary tract infection (with complications),2018-06-30,2017-07-01
8052,LOS 2017-18 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0148,Kidney and urinary tract infection (without complications),2018-06-30,2017-07-01
8053,LOS 2017-18 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0149,Cellulitis,2018-06-30,2017-07-01
8054,LOS 2017-18 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0150,Chronic obstructive pulmonary disease (with complications),2018-06-30,2017-07-01
8055,LOS 2017-18 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0151,Chronic obstructive pulmonary disease (without complications),2018-06-30,2017-07-01
8056,LOS 2017-18 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0152,Heart failure (with complications),2018-06-30,2017-07-01
8057,LOS 2017-18 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0153,Heart failure (without complications),2018-06-30,2017-07-01
8058,LOS 2017-18 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0154,Kidney and urinary tract infection (with complications),2018-06-30,2017-07-01
8059,LOS 2017-18 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0155,Kidney and urinary tract infection (without complications),2018-06-30,2017-07-01
8060,LOS 2017-18 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0156,Cellulitis,2018-06-30,2017-07-01
8061,LOS 2017-18 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0157,Chronic obstructive pulmonary disease (with complications),2018-06-30,2017-07-01
8062,LOS 2017-18 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0158,Chronic obstructive pulmonary disease (without complications),2018-06-30,2017-07-01
8063,LOS 2017-18 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0159,Heart failure (with complications),2018-06-30,2017-07-01
8064,LOS 2017-18 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0160,Heart failure (without complications),2018-06-30,2017-07-01
8065,LOS 2017-18 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0161,Kidney and urinary tract infection (with complications),2018-06-30,2017-07-01
8066,LOS 2017-18 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0162,Kidney and urinary tract infection (without complications),2018-06-30,2017-07-01
8067,LOS 2017-18 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0163,Caesarean delivery,2018-06-30,2017-07-01
8068,LOS 2017-18 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0164,Vaginal delivery,2018-06-30,2017-07-01
8069,LOS 2017-18 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0165,Caesarean delivery,2018-06-30,2017-07-01
8070,LOS 2017-18 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0166,Vaginal delivery,2018-06-30,2017-07-01
8071,LOS 2017-18 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0167,Caesarean delivery,2018-06-30,2017-07-01
8072,LOS 2017-18 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0168,Vaginal delivery,2018-06-30,2017-07-01
8073,LOS 2017-18 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0169,Caesarean delivery,2018-06-30,2017-07-01
8074,LOS 2017-18 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0170,Vaginal delivery,2018-06-30,2017-07-01
8075,LOS 2017-18 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0171,Caesarean delivery,2018-06-30,2017-07-01
8076,LOS 2017-18 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0172,Vaginal delivery,2018-06-30,2017-07-01
8077,LOS 2017-18 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0173,Appendix removal,2018-06-30,2017-07-01
8078,LOS 2017-18 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0174,Gall bladder removal,2018-06-30,2017-07-01
8079,LOS 2017-18 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0175,Reconstructive gynaecological surgery,2018-06-30,2017-07-01
8080,LOS 2017-18 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0176,Hysterectomy,2018-06-30,2017-07-01
8081,LOS 2017-18 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0177,Total hip replacement,2018-06-30,2017-07-01
8082,LOS 2017-18 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0178,Total knee replacement,2018-06-30,2017-07-01
8083,LOS 2017-18 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0179,Prostate removal,2018-06-30,2017-07-01
8084,LOS 2017-18 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0180,Appendix removal,2018-06-30,2017-07-01
8085,LOS 2017-18 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0181,Gall bladder removal,2018-06-30,2017-07-01
8086,LOS 2017-18 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0182,Reconstructive gynaecological surgery,2018-06-30,2017-07-01
8087,LOS 2017-18 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0183,Hysterectomy,2018-06-30,2017-07-01
8088,LOS 2017-18 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0184,Total hip replacement,2018-06-30,2017-07-01
8089,LOS 2017-18 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0185,Total knee replacement,2018-06-30,2017-07-01
8090,LOS 2017-18 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0186,Prostate removal,2018-06-30,2017-07-01
8091,LOS 2017-18 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0187,Appendix removal,2018-06-30,2017-07-01
8092,LOS 2017-18 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0188,Gall bladder removal,2018-06-30,2017-07-01
8093,LOS 2017-18 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0189,Reconstructive gynaecological surgery,2018-06-30,2017-07-01
8094,LOS 2017-18 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0190,Hysterectomy,2018-06-30,2017-07-01
8095,LOS 2017-18 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0191,Total hip replacement,2018-06-30,2017-07-01
8096,LOS 2017-18 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0192,Total knee replacement,2018-06-30,2017-07-01
8097,LOS 2017-18 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0193,Prostate removal,2018-06-30,2017-07-01
8098,LOS 2017-18 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0194,Appendix removal,2018-06-30,2017-07-01
8099,LOS 2017-18 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0195,Gall bladder removal,2018-06-30,2017-07-01
8100,LOS 2017-18 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0196,Reconstructive gynaecological surgery,2018-06-30,2017-07-01
8101,LOS 2017-18 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0197,Hysterectomy,2018-06-30,2017-07-01
8102,LOS 2017-18 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0198,Total hip replacement,2018-06-30,2017-07-01
8103,LOS 2017-18 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0199,Total knee replacement,2018-06-30,2017-07-01
8104,LOS 2017-18 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0200,Prostate removal,2018-06-30,2017-07-01
8105,LOS 2017-18 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0201,Appendix removal,2018-06-30,2017-07-01
8106,LOS 2017-18 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0202,Gall bladder removal,2018-06-30,2017-07-01
8107,LOS 2017-18 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0203,Reconstructive gynaecological surgery,2018-06-30,2017-07-01
8108,LOS 2017-18 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0204,Hysterectomy,2018-06-30,2017-07-01
8109,LOS 2017-18 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0205,Total hip replacement,2018-06-30,2017-07-01
8110,LOS 2017-18 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0206,Total knee replacement,2018-06-30,2017-07-01
8111,LOS 2017-18 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0207,Prostate removal,2018-06-30,2017-07-01
8112,ADM 2017-18 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0213,Medical (emergency),2018-06-30,2017-07-01
8113,ADM 2017-18 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0214,Medical (non-emergency),2018-06-30,2017-07-01
8114,ADM 2017-18 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0215,Childbirth,2018-06-30,2017-07-01
8115,ADM 2017-18 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0216,Mental health,2018-06-30,2017-07-01
8116,ADM 2017-18 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0217,Surgical (emergency),2018-06-30,2017-07-01
8117,ADM 2017-18 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0218,Surgical (non-emergency),2018-06-30,2017-07-01
8118,ADM 2017-18 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0219,Total,2018-06-30,2017-07-01
8119,ADM 2017-18 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0753,Other acute (emergency),2018-06-30,2017-07-01
8120,ADM 2017-18 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0754,Other acute (non-emergency),2018-06-30,2017-07-01
8121,ADM 2017-18 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0755,Rehabilitation,2018-06-30,2017-07-01
8122,ADM 2017-18 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0756,Palliative,2018-06-30,2017-07-01
8123,ADM 2017-18 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0757,Other subacute and non-acute,2018-06-30,2017-07-01
8124,LOS 2018-19 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0128,Cellulitis,2019-06-30,2018-07-01
8125,LOS 2018-19 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0129,Chronic obstructive pulmonary disease (with complications),2019-06-30,2018-07-01
8126,LOS 2018-19 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0130,Chronic obstructive pulmonary disease (without complications),2019-06-30,2018-07-01
8127,LOS 2018-19 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0131,Heart failure (with complications),2019-06-30,2018-07-01
8128,LOS 2018-19 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0132,Heart failure (without complications),2019-06-30,2018-07-01
8129,LOS 2018-19 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0133,Kidney and urinary tract infection (with complications),2019-06-30,2018-07-01
8130,LOS 2018-19 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0134,Kidney and urinary tract infection (without complications),2019-06-30,2018-07-01
8131,LOS 2018-19 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0135,Cellulitis,2019-06-30,2018-07-01
8132,LOS 2018-19 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0136,Chronic obstructive pulmonary disease (with complications),2019-06-30,2018-07-01
8133,LOS 2018-19 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0137,Chronic obstructive pulmonary disease (without complications),2019-06-30,2018-07-01
8134,LOS 2018-19 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0138,Heart failure (with complications),2019-06-30,2018-07-01
8135,LOS 2018-19 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0139,Heart failure (without complications),2019-06-30,2018-07-01
8136,LOS 2018-19 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0140,Kidney and urinary tract infection (with complications),2019-06-30,2018-07-01
8137,LOS 2018-19 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0141,Kidney and urinary tract infection (without complications),2019-06-30,2018-07-01
8138,LOS 2018-19 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0142,Cellulitis,2019-06-30,2018-07-01
8139,LOS 2018-19 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0143,Chronic obstructive pulmonary disease (with complications),2019-06-30,2018-07-01
8140,LOS 2018-19 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0144,Chronic obstructive pulmonary disease (without complications),2019-06-30,2018-07-01
8141,LOS 2018-19 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0145,Heart failure (with complications),2019-06-30,2018-07-01
8142,LOS 2018-19 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0146,Heart failure (without complications),2019-06-30,2018-07-01
8143,LOS 2018-19 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0147,Kidney and urinary tract infection (with complications),2019-06-30,2018-07-01
8144,LOS 2018-19 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0148,Kidney and urinary tract infection (without complications),2019-06-30,2018-07-01
8145,LOS 2018-19 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0149,Cellulitis,2019-06-30,2018-07-01
8146,LOS 2018-19 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0150,Chronic obstructive pulmonary disease (with complications),2019-06-30,2018-07-01
8147,LOS 2018-19 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0151,Chronic obstructive pulmonary disease (without complications),2019-06-30,2018-07-01
8148,LOS 2018-19 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0152,Heart failure (with complications),2019-06-30,2018-07-01
8149,LOS 2018-19 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0153,Heart failure (without complications),2019-06-30,2018-07-01
8150,LOS 2018-19 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0154,Kidney and urinary tract infection (with complications),2019-06-30,2018-07-01
8151,LOS 2018-19 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0155,Kidney and urinary tract infection (without complications),2019-06-30,2018-07-01
8152,LOS 2018-19 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0156,Cellulitis,2019-06-30,2018-07-01
8153,LOS 2018-19 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0157,Chronic obstructive pulmonary disease (with complications),2019-06-30,2018-07-01
8154,LOS 2018-19 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0158,Chronic obstructive pulmonary disease (without complications),2019-06-30,2018-07-01
8155,LOS 2018-19 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0159,Heart failure (with complications),2019-06-30,2018-07-01
8156,LOS 2018-19 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0160,Heart failure (without complications),2019-06-30,2018-07-01
8157,LOS 2018-19 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0161,Kidney and urinary tract infection (with complications),2019-06-30,2018-07-01
8158,LOS 2018-19 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0162,Kidney and urinary tract infection (without complications),2019-06-30,2018-07-01
8159,LOS 2018-19 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0163,Caesarean delivery,2019-06-30,2018-07-01
8160,LOS 2018-19 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0164,Vaginal delivery,2019-06-30,2018-07-01
8161,LOS 2018-19 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0165,Caesarean delivery,2019-06-30,2018-07-01
8162,LOS 2018-19 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0166,Vaginal delivery,2019-06-30,2018-07-01
8163,LOS 2018-19 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0167,Caesarean delivery,2019-06-30,2018-07-01
8164,LOS 2018-19 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0168,Vaginal delivery,2019-06-30,2018-07-01
8165,LOS 2018-19 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0169,Caesarean delivery,2019-06-30,2018-07-01
8166,LOS 2018-19 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0170,Vaginal delivery,2019-06-30,2018-07-01
8167,LOS 2018-19 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0171,Caesarean delivery,2019-06-30,2018-07-01
8168,LOS 2018-19 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0172,Vaginal delivery,2019-06-30,2018-07-01
8169,LOS 2018-19 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0173,Appendix removal,2019-06-30,2018-07-01
8170,LOS 2018-19 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0174,Gall bladder removal,2019-06-30,2018-07-01
8171,LOS 2018-19 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0175,Reconstructive gynaecological surgery,2019-06-30,2018-07-01
8172,LOS 2018-19 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0176,Hysterectomy,2019-06-30,2018-07-01
8173,LOS 2018-19 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0178,Total knee replacement,2019-06-30,2018-07-01
8174,LOS 2018-19 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0179,Prostate removal,2019-06-30,2018-07-01
8175,LOS 2018-19 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0180,Appendix removal,2019-06-30,2018-07-01
8176,LOS 2018-19 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0181,Gall bladder removal,2019-06-30,2018-07-01
8177,LOS 2018-19 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0182,Reconstructive gynaecological surgery,2019-06-30,2018-07-01
8178,LOS 2018-19 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0183,Hysterectomy,2019-06-30,2018-07-01
8179,LOS 2018-19 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0185,Total knee replacement,2019-06-30,2018-07-01
8180,LOS 2018-19 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0186,Prostate removal,2019-06-30,2018-07-01
8181,LOS 2018-19 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0187,Appendix removal,2019-06-30,2018-07-01
8182,LOS 2018-19 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0188,Gall bladder removal,2019-06-30,2018-07-01
8183,LOS 2018-19 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0189,Reconstructive gynaecological surgery,2019-06-30,2018-07-01
8184,LOS 2018-19 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0190,Hysterectomy,2019-06-30,2018-07-01
8185,LOS 2018-19 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0192,Total knee replacement,2019-06-30,2018-07-01
8186,LOS 2018-19 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0193,Prostate removal,2019-06-30,2018-07-01
8187,LOS 2018-19 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0194,Appendix removal,2019-06-30,2018-07-01
8188,LOS 2018-19 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0195,Gall bladder removal,2019-06-30,2018-07-01
8189,LOS 2018-19 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0196,Reconstructive gynaecological surgery,2019-06-30,2018-07-01
8190,LOS 2018-19 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0197,Hysterectomy,2019-06-30,2018-07-01
8191,LOS 2018-19 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0199,Total knee replacement,2019-06-30,2018-07-01
8192,LOS 2018-19 - Number of hospital stays,MYH0016,Number of hospital stays,MYH-RM0200,Prostate removal,2019-06-30,2018-07-01
8193,LOS 2018-19 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0201,Appendix removal,2019-06-30,2018-07-01
8194,LOS 2018-19 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0202,Gall bladder removal,2019-06-30,2018-07-01
8195,LOS 2018-19 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0203,Reconstructive gynaecological surgery,2019-06-30,2018-07-01
8196,LOS 2018-19 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0204,Hysterectomy,2019-06-30,2018-07-01
8197,LOS 2018-19 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0206,Total knee replacement,2019-06-30,2018-07-01
8198,LOS 2018-19 - Percentage of hospital stays that were overnight,MYH0015,Percentage of hospital stays that were overnight,MYH-RM0207,Prostate removal,2019-06-30,2018-07-01
8199,ADM 2018-19 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0213,Medical (emergency),2019-06-30,2018-07-01
8200,ADM 2018-19 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0214,Medical (non-emergency),2019-06-30,2018-07-01
8201,ADM 2018-19 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0215,Childbirth,2019-06-30,2018-07-01
8202,ADM 2018-19 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0216,Mental health,2019-06-30,2018-07-01
8203,ADM 2018-19 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0217,Surgical (emergency),2019-06-30,2018-07-01
8204,ADM 2018-19 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0218,Surgical (non-emergency),2019-06-30,2018-07-01
8205,ADM 2018-19 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0219,Total,2019-06-30,2018-07-01
8206,ADM 2018-19 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0753,Other acute (emergency),2019-06-30,2018-07-01
8207,ADM 2018-19 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0754,Other acute (non-emergency),2019-06-30,2018-07-01
8208,ADM 2018-19 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0755,Rehabilitation,2019-06-30,2018-07-01
8209,ADM 2018-19 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0756,Palliative,2019-06-30,2018-07-01
8210,ADM 2018-19 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0757,Other subacute and non-acute,2019-06-30,2018-07-01
8211,LOS 2019-20 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0128,Cellulitis,2020-06-30,2019-07-01
8212,LOS 2019-20 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0129,Chronic obstructive pulmonary disease (with complications),2020-06-30,2019-07-01
8213,LOS 2019-20 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0130,Chronic obstructive pulmonary disease (without complications),2020-06-30,2019-07-01
8214,LOS 2019-20 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0131,Heart failure (with complications),2020-06-30,2019-07-01
8215,LOS 2019-20 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0132,Heart failure (without complications),2020-06-30,2019-07-01
8216,LOS 2019-20 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0133,Kidney and urinary tract infection (with complications),2020-06-30,2019-07-01
8217,LOS 2019-20 - Average length of overnight stays,MYH0014,Average length of overnight stays,MYH-RM0134,Kidney and urinary tract infection (without complications),2020-06-30,2019-07-01
8218,LOS 2019-20 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0135,Cellulitis,2020-06-30,2019-07-01
8219,LOS 2019-20 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0136,Chronic obstructive pulmonary disease (with complications),2020-06-30,2019-07-01
8220,LOS 2019-20 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0137,Chronic obstructive pulmonary disease (without complications),2020-06-30,2019-07-01
8221,LOS 2019-20 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0138,Heart failure (with complications),2020-06-30,2019-07-01
8222,LOS 2019-20 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0139,Heart failure (without complications),2020-06-30,2019-07-01
8223,LOS 2019-20 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0140,Kidney and urinary tract infection (with complications),2020-06-30,2019-07-01
8224,LOS 2019-20 - Number of overnight bed days,MYH0018,Number of overnight bed days,MYH-RM0141,Kidney and urinary tract infection (without complications),2020-06-30,2019-07-01
8225,LOS 2019-20 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0142,Cellulitis,2020-06-30,2019-07-01
8226,LOS 2019-20 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0143,Chronic obstructive pulmonary disease (with complications),2020-06-30,2019-07-01
8227,LOS 2019-20 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0144,Chronic obstructive pulmonary disease (without complications),2020-06-30,2019-07-01
8228,LOS 2019-20 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0145,Heart failure (with complications),2020-06-30,2019-07-01
8229,LOS 2019-20 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0146,Heart failure (without complications),2020-06-30,2019-07-01
8230,LOS 2019-20 - Number of overnight hospital stays,MYH0017,Number of overnight hospital stays,MYH-RM0147,Kidney and urinary tract infection (with complications),2020-06-30,2019-07-01
